"GLASSWARES, SUPPLIES, APPRATUS AND EQUIPMENT",QUANTITY,LOCATION
Adaptor,2,WC C ( C )
Air pump,2,Cab 20
Alcohol (rubbing),consumable,Cab 25
Alcohol lamp,75,Cab 4
Ammonia Ionic strength adjustor,1 box,MC A (D)
"Analytical balance(Chyo, JL-180)",1,STR lab
"Analytical balance(Explorer OHAUS, E12140)",1,STR lab
Aluminum foil,consumable,"Cab 25, MC B (A)"
Aquarium(small),7,Animal house
Aquarium(medium),1,Animal house
Aquarium(large),6,Animal house
"Autoclave( vertical steam pressure sterilizer, LS-B75L-1)",1,STR Lab
"Autoclave( ALP , KY 23, 103577)",1,STR Lab
Batteries(used),Consumable,WC C (B)
Battery eliminator,1,WC C (D)
Beaker(30mL),2,ASTB(Cab 15)
Beaker(50mL),153,"Cab 10, Cab 11, ASTB(Cab 15)"
Beaker(100mL),104,"Cab 10, Cab 11, ASTB(Cab 15)"
Beaker(150mL),178,"Cab 10, Cab 11,ASTB(Cab 15)"
Beaker(200mL),1,Cab 10
Beaker(250mL),145,"Cab 10, Cab 11, ASTB(Cab 15)"
Beaker(400mL),80,"Cab 10, Cab 11, ASTB(Cab 15)"
Beaker(500mL),28,"Cab 10, Cab 11,  WC C (G),  WC C (H),  WC C (I)"
Beaker(600mL),150,"Cab 10, Cab 11, Cab 19,  WC C (G), WC C (H),  WC C (I), ASTB(Cab 15)"
Beaker(800mL),3,Cab 11
Beaker(1000mL),98,"Cab 11, Cab 19, WC C (G),  WC C (H),  WC C (I),  ASTB(Cab 15)"
Beaker(2000mL),5,WC C (I)
"Blender(turbo, defective)",1,WC C (D)
Blood glucose monitoring system (Accu-check Active)system (Accu-check Active),1,WC C (B)
Buchner flask (250mL),4,WC C (J)
Buchner flask(500mL),8,"Cab 28,  WC C (J)"
Buchner flask(1000mL),1,Cab 28
Buchner funnel,14,Cab 2
Burette,51,"WC C (C ), ASTB(Cab 3),ASTB(Cab 13)"
Burette brush,consumable,WC C (E)
Burette holder,10,"Cab 1,  Laminar flow hood room,ASTB"
Capillary tubes,consumable,WC C  (B)
Casserole,3,Cab 17
"Centrifuge(DSC 156,)",2,STR Lab
Centrifuge (kokusan),1,STR Lab
Chalk,consumable,Can 25
Chart (60 mm),5 boxes,MC A (C )
Chopping board,8,Cab 1
Clamp,41,"Cab 1, Laminar flow hood room"
Clock( nglish clock system),1,WC C  (B)
Colony counter (Erma Inc.),1,STR Lab
Condenser (simple dist. ),30,"WC C (C ), ASTB(Cab 13),ASTB(Cab 18)"
Coffee filter bags,consumable,Cab 24
Cotton,consumable,"Cab 25,  RACK A/B"
Cotton buds,consumable,RACK A/B
Cotton gauze roll,consumable,Cab 26
Cups (plastic),18,Cab 9
Crucibles w/cover,106,Cab 2
Cuvette( glass),8,WC C (B)
"Cuvette (Large, plastic)",7,Cab 4
"Cuvette (small, plastic)",2 boxes,"Cab 24, WC  C (B)"
Desoldering pump (Miyama),5,MC A(B)
Dessicator,3,"Cab 9, STR Lab"
Digital Multimeter (UT30 series),1,MC A(B)
Digital Multimeter (Wheeler:W896B)),1,MC A(B)
Digital Multimeter (ASTi-DM705),1,MC A(B)
Disinfectant(Lysol),consumable,Cab 25
"Dispenser for acids & bases( Fortuna, optifix, Basic 5)",1,WC  C (B)
Disposable kitchen ware,consumable,Cab 26
Distilling flask(125mL),23,"Cab 21,  ASTB( Cab 6),ASTB(Cab 19)"
